song_a,album_a,song_b,album_b,similarity
Outta My Hands (Loco),Revival,Nobody Does It Like You,Stars Dance,0.6041
Can’t Steal Our Love,Unreleased Songs,Same Old Love (Remix),,0.6702
Can’t Steal Our Love,Unreleased Songs,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6533
Can’t Steal Our Love,Unreleased Songs,Expressing Myself,Unreleased Songs,0.696
Can’t Steal Our Love,Unreleased Songs,Fetish (Galantis Remix),Helix (Volume 1),0.6778
Can’t Steal Our Love,Unreleased Songs,You Don’t Own Me (Cover) / Me & My Girls,,0.6295
Can’t Steal Our Love,Unreleased Songs,Unfamiliar (Demo),Unreleased Songs,0.7062
Can’t Steal Our Love,Unreleased Songs,Love’s Not Over,Unreleased Songs,0.6619
Can’t Steal Our Love,Unreleased Songs,Good For You (Kasbo Remix),Good for You (Remixes),0.6663
Can’t Steal Our Love,Unreleased Songs,Good For You (AKZEL Remix),,0.6051
Can’t Steal Our Love,Unreleased Songs,Good For You (Phantoms Remix),,0.603
Can’t Steal Our Love,Unreleased Songs,Good For You (Nebbra Remix),Good for You (Remixes),0.6271
Can’t Steal Our Love,Unreleased Songs,Good For You (Yellow Claw & Cesqeaux Remix),Good for You (Remixes),0.652
Can’t Steal Our Love,Unreleased Songs,Same Old Love (Borgore Remix),Same Old Love (Remixes),0.7033
Can’t Steal Our Love,Unreleased Songs,Same Old Love (Filous Remix),Same Old Love (Remixes),0.718
Can’t Steal Our Love,Unreleased Songs,Same Old Love (Romos Remix),Same Old Love (Remixes),0.6909
Can’t Steal Our Love,Unreleased Songs,Same Old Love (Wuki Remix),Same Old Love (Remixes),0.7074
Stars Dance,Stars Dance,Praise You,Unreleased Songs,0.6067
Undercover,Stars Dance,Nobody Does It Like You,Stars Dance,0.6295
Undercover,Stars Dance,Lover In Me,Stars Dance,0.6019
Undercover,Stars Dance,You Don’t Own Me (Cover) / Me & My Girls,,0.6431
Undercover,Stars Dance,Redlight,,0.609
Undercover,Stars Dance,Bang,Unreleased Songs,0.639
Undercover,Stars Dance,Feel Me (Live from Revival Tour),,0.6254
Undercover,Stars Dance,Slow Down (Chew Fu Refix),Slow Down (Remixes),0.6006
Kill Em With Kindness (Acoustic),,Kill Em with Kindness (Felix Cartal Remix),Kill Em With Kindness (Remixes),0.9714
Kill Em With Kindness (Acoustic),,Kill Em With Kindness (MAGIX Radio Edit),,0.952
